"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","35.7",""
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","36.8","s"
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","17.2","s"
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","40.8","s"
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","0.3","s"
"2000M01","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","31.9",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","33.3",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year",":",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","37.7",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period",":",""
"2000M01","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","33.8",""
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","34.5","s"
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","17.8","s"
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","38.5","s"
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","5.9","s"
"2000M01","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","38.0",""
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","36.8","s"
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","18.2","s"
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","40.8","s"
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","0.1","s"
"2000M02","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","34.4",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","35.6",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year",":",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","39.5",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","4.9",""
"2000M02","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","35.2",""
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","34.3","s"
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","24.6","s"
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","38.3","s"
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","-0.4","s"
"2000M02","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M03","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","43.8",""
"2000M03","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M03","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M03","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","42.0","s"
"2000M03","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M03","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","18.5","s"
