Date,Open,High,Low,Close,Volume
2016-10-31,39.27,39.33,39.17,39.24,351834.0
2016-09-30,39.09,39.49,39.06,39.38,785551.0
2016-08-31,39.21,39.3,39.02,39.14,431466.0
2016-07-31,38.75,39.0,38.68,38.95,930394.0
2016-06-30,37.1,37.79,37.06,37.79,3698711.0
2016-05-31,40.41,40.49,39.86,39.97,867427.0
2016-04-30,40.44,40.51,40.15,40.31,866949.0
2016-03-31,39.29,39.41,39.1,39.11,625587.0
2016-02-29,36.88,37.15,36.78,36.78,766721.0
2016-01-31,37.42,37.97,37.37,37.96,766860.0
2015-12-31,40.35,40.41,40.11,40.11,1283715.0
2015-11-30,41.78,41.82,41.64,41.64,893775.0
2015-10-31,42.25,42.56,42.23,42.23,412090.0
2015-09-30,39.79,39.88,39.48,39.8,733165.0
2015-08-31,41.65,41.83,41.47,41.62,689552.0
2015-07-31,44.96,44.98,44.68,44.79,341893.0
2015-06-30,44.39,44.45,43.46,43.73,1110889.0
2015-05-31,46.5,46.59,45.92,46.2,415685.0
2015-04-30,46.11,46.36,46.0,46.08,580319.0
2015-03-31,44.26,44.56,44.18,44.27,466472.0
2015-02-28,45.29,45.51,45.19,45.29,717440.0
2015-01-31,43.05,43.13,42.72,42.73,1099106.0
2014-12-31,42.93,42.98,42.5,42.53,726621.0
2014-11-30,45.03,45.09,44.92,44.98,420547.0
2014-10-31,43.86,44.12,43.74,44.09,1637551.0
2014-09-30,44.96,45.27,44.89,45.08,839405.0
2014-08-31,46.76,46.87,46.59,46.8,711100.0
2014-07-31,46.9,46.94,46.49,46.52,1268987.0
2014-06-30,48.49,48.68,48.47,48.57,1908257.0
2014-05-31,49.94,49.99,49.83,49.98,1086100.0
2014-04-30,49.35,49.65,49.31,49.6,1416802.0
2014-03-31,48.35,48.45,48.16,48.28,1032521.0
2014-02-28,48.57,48.78,48.35,48.53,1198379.0
2014-01-31,45.04,45.5,45.0,45.27,652215.0
2013-12-31,47.32,47.67,47.32,47.45,550567.0
2013-11-30,46.55,46.58,46.33,46.34,553638.0
2013-10-31,46.07,46.15,45.84,45.92,814958.0
2013-09-30,43.98,44.21,43.94,44.12,1404033.0
2013-08-31,41.42,41.42,41.07,41.13,639648.0
2013-07-31,41.55,42.06,41.53,41.77,469282.0
2013-06-30,38.88,38.99,38.69,38.75,355394.0
2013-05-31,42.02,42.1,41.56,41.56,352353.0
2013-04-30,41.39,41.52,41.29,41.5,424410.0
2013-03-31,39.64,39.83,39.58,39.71,169329.0
2013-02-28,39.66,39.97,39.63,39.68,391586.0
2013-01-31,41.12,41.3,41.04,41.1,337074.0
2012-12-31,38.82,39.38,38.76,39.3,273281.0
2012-11-30,38.0,38.15,37.88,37.98,221741.0
2012-10-31,37.33,37.34,36.95,37.13,137991.0
2012-09-30,36.89,36.94,36.47,36.52,88253.0
2012-08-31,35.6,35.65,35.28,35.41,82833.0
2012-07-31,33.99,34.12,33.9,33.9,53100.0
2012-06-30,33.5,33.7,33.44,33.7,77327.0
2012-05-31,32.22,32.29,31.71,32.13,137094.0
2012-04-30,36.51,36.54,36.3,36.44,21631.0
2012-03-31,37.3,37.44,37.09,37.35,23913.0
2012-02-29,37.86,38.0,37.33,37.38,81749.0
2012-01-31,35.78,35.8,35.4,35.58,77856.0
2011-12-31,33.08,33.62,33.05,33.74,0.0
2011-11-30,34.38,34.77,34.29,34.72,193469.0
2011-10-31,36.88,36.9,35.82,35.82,155301.0
2011-09-30,32.15,32.49,31.87,31.87,109997.0
2011-08-31,36.11,36.41,36.02,36.17,85276.0
2011-07-31,40.11,40.64,39.94,40.09,250035.0
2011-06-30,41.4,42.12,41.38,42.08,198870.0
2011-05-31,43.7,43.86,43.45,43.84,194563.0
2011-04-30,45.2,45.4,45.18,45.34,78493.0
2011-03-31,41.82,42.08,41.68,41.82,131495.0
2011-02-28,42.32,42.47,42.05,42.27,146919.0
2011-01-31,40.83,41.13,40.81,41.01,452214.0
2010-12-31,39.0,39.58,38.98,39.28,334136.0
