"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M01","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","73.5",""
"2000M01","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.2",""
"2000M01","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","-0.1",""
"2000M01","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","58.6",""
"2000M01","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-1.4",""
"2000M01","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","-5.2",""
"2000M01","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","86.6",""
"2000M01","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.4",""
"2000M01","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","2.3",""
"2000M01","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100",":",""
"2000M01","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":",""
"2000M01","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M02","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","73.4",""
"2000M02","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.2",""
"2000M02","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","-0.3",""
"2000M02","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","58.3",""
"2000M02","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.6",""
"2000M02","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","-5.4",""
"2000M02","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","86.6",""
"2000M02","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2000M02","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","2.0",""
"2000M02","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100",":",""
"2000M02","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":",""
