"Data","OMX","SP350","SP500","kk","dll","nedarbas","Infliacija","mhope","phope","pramhope","shope","ta","ul","vhope","vp","mp","euribor","gkl"
"2000M01",102.1,NA,1394.459961,"33.8",-35.8,"268",1.3,"-12.1",":","-20.5","-61.4",-13,-13,":",-34,"58.0",3.3431,"1.7"
"2000M02",100.17,NA,1366.420044,"35.2",-35.8,"266",1.1,"-12.1",":","-12.5","-61.4",-13,-13,":",-34,"59.6",NA,"0.9"
"2000M03",102.34,NA,1498.579956,"42.4",-35.8,"266",1,"-12.1",":","-10.9","-61.4",-13,-13,":",-34,"63.6",3.747,"0.9"
"2000M04",100.76,NA,1452.430054,"36.1",-19.8,"266",0.9,"-15.7",":","-14.5","-61.4",1,-13,":",-30,"66.4",3.9253,"-1.7"
"2000M05",100.31,NA,1420.599976,"38.3",-19.8,"267",0.9,"-15.7",":","-14.2","-61.4",1,-13,":",-30,"70.5",4.362,"0.8"
"2000M06",92.66,NA,1454.599976,"41.5",-19.8,"270",0.8,"-15.7",":","-13.9","-61.4",1,-13,":",-30,"67.8",4.5017,"0.8"
"2000M07",90.46,39.03,1430.829956,"41.1",-19.8,"280",0.9,"-20.7",":","-18.2","-66.4",8,-13,":",-25,"69.6",4.5829,"-0.5"
"2000M08",91.99,39.53,1517.680054,"43.3",-19.8,"282",0.9,"-20.7",":","-13.9","-66.4",8,-13,":",-25,"71.1",4.7771,"-0.2"
"2000M09",92.26,38.13,1436.51001,"46.3",-19.8,"279",0.8,"-20.7",":","-9.9","-66.4",8,-13,":",-25,"70.9",4.8528,"1.9"
"2000M10",89.54,36.41,1429.400024,"40.8",-23.8,"275",0.9,"-22.4",":","-19.2","-74.9",10,-11,":",-27,"71.1",5.0413,"0.3"
"2000M11",94.93,36.22,1314.949951,"43.1",-23.8,"278",1,"-22.4",":","-17.2","-74.9",10,-11,":",-27,"67.9",5.092,"-0.1"
"2000M12",92.7,38.34,1320.280029,"42.5",-23.8,"285",1.1,"-22.4",":","-20.2","-74.9",10,-11,":",-27,"80.1",4.9392,"-2.1"
"2001M01",96.11,38.25,1366.01001,"41.1",-30.8,"296",1,"-12.1",":","-16.2","-73.4",-11,-13,":",-28,"63.4",4.7707,"-0.7"
"2001M02",92.54,34.31,1239.939941,"38.7",-30.8,"299",0.9,"-12.1",":","-8.5","-73.4",-11,-13,":",-28,"61.2",4.7558,"0.9"
"2001M03",87.39,32.24,1160.329956,"40.6",-30.8,"297",0.9,"-12.1",":","-0.2","-73.4",-11,-13,":",-28,"68.0",4.7086,"-0.2"
"2001M04",86.25,34.22,1249.459961,"39.2",-18.8,"287",0.9,"-12.1",":","2.1","-47.4",11,4,":",-25,"66.9",4.682,"0.5"
"2001M05",84.35,33.45,1255.819946,"48.2",-18.8,"276",1.1,"-12.1",":","-1.9","-47.4",11,4,"-32.7",-25,"69.3",4.6367,"1.3"
"2001M06",82.13,31.6,1224.380005,"44.6",-18.8,"270",1.1,"-12.1",":","-7.2","-47.4",11,4,"-29.7",-25,"68.5",4.4536,"-1.1"
"2001M07",74.74,31.4,1211.22998,"43.4",-24.8,"268",1.1,"-15.1",":","-9.9","-37.4",8,-8,"-24.4",-29,"71.3",4.4671,"-1.1"
"2001M08",68.55,30.5,1133.579956,"43.0",-24.8,"269",1.2,"-15.1",":","-4.5","-37.4",8,-8,"-23.8",-29,"72.9",4.3535,"0.6"
"2001M09",68.81,27.18,1040.939941,"42.5",-24.8,"274",1.4,"-15.1",":","-8.9","-37.4",8,-8,"-25.5",-29,"68.0",3.9829,"0.9"
"2001M10",73.01,27.78,1059.780029,"46.4",-4.8,"283",1.5,"-7.4",":","-13.4","-56.4",9,7,"-29.9",-14,"70.9",3.5999,"-1.2"
"2001M11",75.93,28.85,1139.449951,"41.7",-4.8,"291",1.5,"-7.4",":","-13.5","-56.4",9,7,"-28.1",-14,"68.4",3.3857,"-1.6"
"2001M12",75.56,29.54,1148.079956,"39.1",-4.8,"296",1.5,"-7.4",":","-13.5","-56.4",9,7,"-26.0",-14,"84.3",3.3449,"0.1"
"2002M01",77.64,28.28,1130.199951,"36.1",0.2,"294",1.8,"-6.7",":","-12.0","-53.9",4,1,"-22.4",-16,"68.4",3.3388,"1.0"
"2002M02",84.26,28.12,1106.72998,"35.3",0.2,"282",2.1,"-6.7",":","-4.2","-53.9",4,1,"-24.7",-16,"65.4",3.3571,"-0.3"
"2002M03",89.78,29.5,1147.390015,"44.3",0.2,"264",2.1,"-6.7",":","-0.4","-53.9",4,1,"-24.3",-16,"76.2",3.3908,"0.4"
"2002M04",94.41,29.54,1076.920044,"43.2",-2.8,"233",2.2,"3.3",":","-3.4","-19.9",5,7,"-22.2",-5,"71.6",3.4069,"1.4"
