"GDP and main components  (output, expenditure and income) [namq_10_gdp]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update,23.09.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracted on,26.09.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,"Current prices, million euro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_ADJ,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA_ITEM,Gross domestic product at market prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO/TIME,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2
Estonia,"1,221.1","1,390.5","1,365.1","1,402.1","1,390.9","1,575.3","1,542.7","1,661.9","1,569.6","1,797.4","1,751.8","1,857.6","1,753.4","1,999.2","1,961.6","2,059.6","1,998.5","2,228.8","2,194.2","2,287.3","2,297.3","2,377.4","2,478.9","2,554.1","2,515.2","2,833.1","2,893.1","3,020.9","3,020.4","3,355.5","3,478.7","3,667.1","3,684.3","4,069.3","4,144.0","4,348.8","3,875.4","4,365.2","4,193.9","4,082.8","3,448.7","3,611.9","3,477.3","3,607.9","3,305.3","3,679.1","3,771.2","3,960.9","3,798.2","4,212.0","4,255.1","4,402.3","4,112.7","4,559.9","4,566.8","4,695.4","4,378.4","4,767.4","4,808.0","4,936.3","4,578.1","4,989.5","4,973.7","5,217.0","4,698.6","5,125.8","5,103.1","5,324.2","4,835.0","5,263.7"
Latvia,"1,527.6","1,760.1","1,804.9","1,963.3","1,847.2","2,163.8","2,236.5","2,381.4","2,004.5","2,429.5","2,374.8","2,560.1","2,294.7","2,622.0","2,540.1","2,683.5","2,348.8","2,601.7","2,721.1","2,785.3","2,537.7","2,904.7","3,063.6","3,154.2","2,865.2","3,296.1","3,611.7","3,937.9","3,604.9","4,145.7","4,544.1","4,938.3","4,834.1","5,588.8","6,011.2","6,209.8","5,724.5","6,241.5","6,328.6","6,023.8","4,692.9","4,790.1","4,607.0","4,640.2","4,008.5","4,372.5","4,582.9","4,807.3","4,372.9","4,971.3","5,265.0","5,537.0","4,865.4","5,449.7","5,741.2","5,936.7","5,062.5","5,643.2","5,952.4","6,123.4","5,289.7","5,821.0","6,130.3","6,315.4","5,412.8","6,050.1","6,386.1","6,445.2","5,482.7","6,271.9"
Lithuania,"2,176.0","2,700.7","2,715.1","2,725.0","2,656.8","3,124.2","3,267.4","3,504.8","2,996.0","3,542.5","3,543.1","3,619.2","3,311.3","3,833.0","3,988.9","4,042.9","3,710.3","4,132.3","4,334.4","4,491.7","3,931.7","4,504.6","4,760.8","5,040.3","4,391.1","5,176.2","5,576.4","5,858.6","5,040.5","5,887.0","6,456.9","6,694.8","6,030.8","7,176.1","7,834.3","7,999.4","7,167.3","8,483.3","8,741.7","8,303.9","6,395.7","7,065.6","6,825.0","6,648.5","6,285.9","7,122.5","7,336.9","7,282.3","6,906.7","7,974.2","8,348.7","8,033.5","7,480.3","8,318.0","8,959.7","8,576.7","7,695.1","8,772.3","9,515.5","8,979.3","8,184.9","9,204.6","9,777.3","9,277.5","8,253.2","9,366.8","9,979.1","9,524.6","8,489.6","9,611.3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,"Current prices, million euro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_ADJ,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
