"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value","Flag and Footnotes"
"1999Q1","Estonia","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","1,221.1",""
"1999Q1","Estonia","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries","429.0",""
"1999Q1","Estonia","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q1","Estonia","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q1","Estonia","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices",":",""
"1999Q1","Estonia","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q1","Estonia","Current prices, million euro","Seasonally and calendar adjusted data","Gross domestic product at market prices","1,290.8",""
"1999Q1","Estonia","Current prices, million euro","Seasonally and calendar adjusted data","Wages and salaries","454.7",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","2,238.4",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices",":",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Seasonally and calendar adjusted data","Gross domestic product at market prices","2,386.2",""
"1999Q1","Estonia","Chain linked volumes (2010), million euro","Seasonally and calendar adjusted data","Wages and salaries",":",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","60.8",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices",":",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Gross domestic product at market prices","64.9",""
"1999Q1","Estonia","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Wages and salaries",":",""
"1999Q1","Latvia","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","1,527.6",""
"1999Q1","Latvia","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries","540.5",""
"1999Q1","Latvia","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q1","Latvia","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q1","Latvia","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","1,532.4",""
"1999Q1","Latvia","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Wages and salaries","540.5",""
"1999Q1","Latvia","Current prices, million euro","Seasonally and calendar adjusted data","Gross domestic product at market prices","1,667.9",""
"1999Q1","Latvia","Current prices, million euro","Seasonally and calendar adjusted data","Wages and salaries","566.6",""
"1999Q1","Latvia","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","2,632.3",""
"1999Q1","Latvia","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q1","Latvia","Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
