"TIME","GEO","INDIC","S_ADJ","Value","Flag and Footnotes"
"2000M01","Estonia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-38.2",""
"2000M01","Estonia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-30.9",""
"2000M01","Estonia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M01","Estonia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","91.5",""
"2000M01","Estonia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-9.7",""
"2000M01","Estonia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-3.4",""
"2000M01","Estonia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-4.1",""
"2000M01","Estonia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","0.3",""
"2000M01","Estonia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-37.1",""
"2000M01","Estonia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-36.8",""
"2000M01","Estonia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M01","Estonia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M01","Latvia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-44.4",""
"2000M01","Latvia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-36.8",""
"2000M01","Latvia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M01","Latvia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","97.2",""
"2000M01","Latvia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-14.7",""
"2000M01","Latvia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-13.7",""
