"Turnover in industry, total - monthly data [sts_intv_m]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update,22.09.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracted on,26.09.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIC_BT,Index of turnover - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACE_R2,Mining and quarrying; manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_ADJ,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,"Index, 2010=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO/TIME,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07
Estonia,35.7,38.0,43.8,40.6,45.8,46.6,38.6,46.3,46.6,48.1,48.7,43.8,44.5,43.4,50.9,47.9,53.1,52.4,48.0,52.4,50.9,56.7,55.1,46.6,47.5,48.0,51.7,56.8,59.6,53.6,52.8,55.7,59.8,62.8,58.2,50.7,52.3,52.8,59.4,60.2,62.8,60.1,57.1,60.7,67.3,71.0,64.7,60.6,56.6,57.7,69.9,69.7,71.0,71.7,65.6,70.3,75.1,75.0,75.9,70.3,63.9,67.7,78.0,78.7,83.4,82.0,73.1,82.5,87.9,84.7,87.2,82.4,76.6,73.6,92.8,86.0,99.3,98.6,83.5,96.4,98.0,101.9,100.9,90.3,89.4,91.2,107.4,104.7,114.4,111.2,97.3,110.8,109.4,118.5,113.0,96.6,103.0,105.9,107.2,119.1,115.5,112.3,109.0,104.8,119.7,112.6,93.6,83.9,76.4,74.0,81.7,78.0,78.9,80.8,75.2,80.1,85.7,84.7,82.4,76.9,72.0,76.4,92.5,91.2,98.1,99.7,94.2,101.8,117.4,120.2,122.2,114.4,109.9,111.9,138.1,129.7,137.1,130.0,125.0,140.5,129.3,127.4,128.4,115.6,118.5,119.4,132.5,127.6,139.7,136.0,121.5,137.1,138.3,141.7,144.3,116.4,135.4,128.9,136.4,146.7,154.8,140.5,136.3,139.5,140.4,152.0,142.5,118.8,127.7,126.9,145.5,147.3,150.1,144.3,144.3,142.5,159.2,162.3,151.0,131.1,130.8,129.8,153.4,146.8,144.2,146.2,134.2,137.1,146.2,149.9,142.3,129.0,120.6,132.6,146.9,148.3,152.0,148.8,125.5
Latvia,31.9,34.4,37.6,34.8,40.0,42.2,36.5,40.0,39.0,40.4,40.2,40.5,37.8,39.5,44.6,40.9,49.6,46.9,45.9,46.9,43.9,48.5,45.7,40.4,42.6,40.9,44.3,51.3,53.7,48.3,47.9,51.7,50.6,53.5,52.2,47.6,46.8,47.6,52.1,56.2,58.2,57.5,61.1,56.4,61.3,62.5,56.2,57.8,54.0,58.1,67.3,68.3,70.4,68.9,72.8,69.3,72.1,69.8,72.0,74.0,64.2,67.7,76.9,80.7,81.4,84.7,84.2,85.0,84.7,87.7,88.4,87.1,76.9,78.6,92.4,88.4,97.7,102.5,95.2,103.5,101.5,106.3,101.3,97.9,96.5,95.7,115.0,105.3,122.6,117.7,114.7,121.0,111.1,121.8,116.9,103.8,107.3,113.1,111.7,129.1,122.9,120.7,121.4,122.8,127.8,119.0,100.4,95.5,78.6,78.6,86.3,88.4,87.4,91.6,87.1,85.4,92.7,93.4,86.2,86.2,72.8,79.6,93.6,97.8,101.2,102.2,107.6,109.7,114.5,112.7,105.2,102.9,97.8,98.8,116.4,112.3,123.4,123.8,117.8,126.1,128.2,125.8,124.5,113.5,117.0,112.9,130.8,126.1,141.2,137.1,133.5,145.9,138.0,143.4,134.5,117.2,124.4,116.2,125.7,128.2,139.6,134.7,138.7,140.3,137.7,146.8,136.6,121.4,119.3,121.6,132.4,136.2,136.9,131.8,136.9,129.0,141.3,143.8,124.8,118.3,116.3,115.3,136.2,141.0,132.8,137.3,138.2,129.5,137.7,140.1,129.7,121.1,113.4,123.2,132.0,139.0,142.5,135.3,128.0
Lithuania,33.8,35.2,42.4,36.1,38.3,41.5,41.1,43.3,46.3,40.8,43.1,42.5,41.1,38.7,40.6,39.2,48.2,44.6,43.4,43.0,42.5,46.4,41.7,39.1,36.1,35.3,44.3,43.2,47.9,45.2,43.7,44.7,46.9,47.4,44.8,46.1,43.6,47.9,46.0,42.3,44.8,45.7,50.5,52.6,52.6,55.5,52.8,53.1,45.5,49.9,54.1,56.5,53.2,58.9,58.9,60.7,65.2,68.5,62.5,64.4,60.9,57.9,72.2,70.1,75.7,74.2,72.3,80.2,89.9,80.1,85.8,85.6,78.1,76.2,91.1,84.7,99.5,94.9,89.3,88.6,93.2,86.6,85.2,81.2,78.6,76.1,88.9,92.0,100.4,103.0,106.5,106.7,98.9,99.8,98.6,103.3,102.1,107.9,117.8,129.2,130.5,136.9,139.1,128.6,130.7,112.1,97.0,87.6,76.4,74.7,76.1,77.3,82.3,90.3,89.2,86.8,86.5,83.6,82.7,83.6,73.2,79.1,87.0,94.0,98.0,106.5,105.3,107.7,107.0,112.6,112.8,116.7,111.2,110.3,117.9,114.8,131.6,133.5,129.7,133.6,135.0,129.8,129.8,126.3,123.6,118.6,132.2,132.7,106.1,131.4,137.7,154.1,148.8,154.6,145.5,135.4,135.0,131.4,144.0,135.2,134.4,136.4,142.1,145.6,145.4,149.2,136.5,130.2,118.7,121.6,123.9,137.9,141.8,134.4,142.5,131.6,143.1,146.9,135.9,123.3,107.3,117.6,129.7,131.2,139.3,143.4,141.2,129.0,129.9,139.2,134.0,121.9,107.2,116.0,123.6,118.8,132.5,132.9,127.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIC_BT,Index of turnover - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACE_R2,Mining and quarrying; manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
