Date,OMXV Value,OMXV Change (%),OMXV Daily Change (%),OMX raw,2,,,1,
"01,01,2000",100,0,0,2000-01-01,1,2000,100,1,0
"02,01,2000",100,0,0,2000-01-02,1,2000,200,2,
"03,01,2000",100,0,0,2000-01-03,1,2000,300,3,
"04,01,2000",100.94,0.94,0.94,2000-01-04,1,2000,400.94,4,
"05,01,2000",101.02,1.02,0.08,2000-01-05,1,2000,501.96,5,
"06,01,2000",101.13,1.13,0.11,2000-01-06,1,2000,603.09,6,
"07,01,2000",101.65,1.65,0.51,2000-01-07,1,2000,704.74,7,
"08,01,2000",101.65,1.65,0,2000-01-08,1,2000,806.39,8,
"09,01,2000",101.65,1.65,0,2000-01-09,1,2000,908.04,9,
"10,01,2000",102.5,2.5,0.84,2000-01-10,1,2000,1010.54,10,
"11,01,2000",102.94,2.94,0.43,2000-01-11,1,2000,1113.48,11,
"12,01,2000",103.6,3.6,0.64,2000-01-12,1,2000,1217.08,12,
"13,01,2000",103.6,3.6,0,2000-01-13,1,2000,1320.68,13,
"14,01,2000",104.53,4.53,0.9,2000-01-14,1,2000,1425.21,14,
"15,01,2000",104.53,4.53,0,2000-01-15,1,2000,1529.74,15,
"16,01,2000",104.53,4.53,0,2000-01-16,1,2000,1634.27,16,
"17,01,2000",104.58,4.58,0.05,2000-01-17,1,2000,1738.85,17,
"18,01,2000",104.53,4.53,-0.05,2000-01-18,1,2000,1843.38,18,
"19,01,2000",104.69,4.69,0.15,2000-01-19,1,2000,1948.07,19,
"20,01,2000",104.49,4.49,-0.19,2000-01-20,1,2000,2052.56,20,
"21,01,2000",104.11,4.11,-0.36,2000-01-21,1,2000,2156.67,21,
"22,01,2000",104.11,4.11,0,2000-01-22,1,2000,2260.78,22,
"23,01,2000",104.11,4.11,0,2000-01-23,1,2000,2364.89,23,
"24,01,2000",103.22,3.22,-0.85,2000-01-24,1,2000,2468.11,24,
"25,01,2000",103.18,3.18,-0.04,2000-01-25,1,2000,2571.29,25,
"26,01,2000",103.37,3.37,0.18,2000-01-26,1,2000,2674.66,26,
"27,01,2000",103.12,3.12,-0.24,2000-01-27,1,2000,2777.78,27,
"28,01,2000",102.48,2.48,-0.62,2000-01-28,1,2000,2880.26,28,
"29,01,2000",102.48,2.48,0,2000-01-29,1,2000,2982.74,29,
"30,01,2000",102.48,2.48,0,2000-01-30,1,2000,3085.22,30,
"31,01,2000",102.1,2.1,-0.37,2000-01-31,1,2000,3187.32,31,
"01,02,2000",102.09,2.09,-0.01,2000-02-01,2,2000,3289.41,32,
"02,02,2000",102.21,2.21,0.12,2000-02-02,2,2000,3391.62,33,
"03,02,2000",102.51,2.51,0.29,2000-02-03,2,2000,3494.13,34,
"04,02,2000",102.53,2.53,0.02,2000-02-04,2,2000,3596.66,35,
"05,02,2000",102.53,2.53,0,2000-02-05,2,2000,3699.19,36,
"06,02,2000",102.53,2.53,0,2000-02-06,2,2000,3801.72,37,
"07,02,2000",102.36,2.36,-0.17,2000-02-07,2,2000,3904.08,38,
"08,02,2000",101.46,1.46,-0.88,2000-02-08,2,2000,4005.54,39,
"09,02,2000",101.41,1.41,-0.05,2000-02-09,2,2000,4106.95,40,
"10,02,2000",101.17,1.17,-0.24,2000-02-10,2,2000,4208.12,41,
"11,02,2000",101.33,1.33,0.16,2000-02-11,2,2000,4309.45,42,
"12,02,2000",101.33,1.33,0,2000-02-12,2,2000,4410.78,43,
"13,02,2000",101.33,1.33,0,2000-02-13,2,2000,4512.11,44,
"14,02,2000",101.54,1.54,0.21,2000-02-14,2,2000,4613.65,45,
"15,02,2000",101.73,1.73,0.19,2000-02-15,2,2000,4715.38,46,
"16,02,2000",101.73,1.73,0,2000-02-16,2,2000,4817.11,47,
"17,02,2000",102.18,2.18,0.44,2000-02-17,2,2000,4919.29,48,
"18,02,2000",102.3,2.3,0.12,2000-02-18,2,2000,5021.59,49,
"19,02,2000",102.3,2.3,0,2000-02-19,2,2000,5123.89,50,
"20,02,2000",102.3,2.3,0,2000-02-20,2,2000,5226.19,51,
"21,02,2000",102.42,2.42,0.12,2000-02-21,2,2000,5328.61,52,
"22,02,2000",102.55,2.55,0.13,2000-02-22,2,2000,5431.16,53,
"23,02,2000",100.66,0.66,-1.84,2000-02-23,2,2000,5531.82,54,
"24,02,2000",101.12,1.12,0.46,2000-02-24,2,2000,5632.94,55,
"25,02,2000",100.53,0.53,-0.58,2000-02-25,2,2000,5733.47,56,
"26,02,2000",100.53,0.53,0,2000-02-26,2,2000,5834,57,
"27,02,2000",100.53,0.53,0,2000-02-27,2,2000,5934.53,58,
"28,02,2000",100.51,0.51,-0.02,2000-02-28,2,2000,6035.04,59,
"29,02,2000",100.17,0.17,-0.34,2000-02-29,2,2000,6135.21,60,
"01,03,2000",100.38,0.38,0.21,2000-03-01,3,2000,6235.59,61,
"02,03,2000",100.88,0.88,0.5,2000-03-02,3,2000,6336.47,62,
"03,03,2000",101.48,1.48,0.59,2000-03-03,3,2000,6437.95,63,
"04,03,2000",101.48,1.48,0,2000-03-04,3,2000,6539.43,64,
"05,03,2000",101.48,1.48,0,2000-03-05,3,2000,6640.91,65,
"06,03,2000",101.66,1.66,0.18,2000-03-06,3,2000,6742.57,66,
"07,03,2000",102.14,2.14,0.47,2000-03-07,3,2000,6844.71,67,
"08,03,2000",102.1,2.1,-0.04,2000-03-08,3,2000,6946.81,68,
"09,03,2000",102.61,2.61,0.5,2000-03-09,3,2000,7049.42,69,
"10,03,2000",103.2,3.2,0.57,2000-03-10,3,2000,7152.62,70,
"11,03,2000",103.2,3.2,0,2000-03-11,3,2000,7255.82,71,
"12,03,2000",103.2,3.2,0,2000-03-12,3,2000,7359.02,72,
"13,03,2000",103.25,3.25,0.05,2000-03-13,3,2000,7462.27,73,
"14,03,2000",103.59,3.59,0.33,2000-03-14,3,2000,7565.86,74,
"15,03,2000",105.04,5.04,1.4,2000-03-15,3,2000,7670.9,75,
"16,03,2000",106.72,6.72,1.6,2000-03-16,3,2000,7777.62,76,
"17,03,2000",105.39,5.39,-1.25,2000-03-17,3,2000,7883.01,77,
"18,03,2000",105.39,5.39,0,2000-03-18,3,2000,7988.4,78,
"19,03,2000",105.39,5.39,0,2000-03-19,3,2000,8093.79,79,
"20,03,2000",105.01,5.01,-0.36,2000-03-20,3,2000,8198.8,80,
"21,03,2000",103.99,3.99,-0.97,2000-03-21,3,2000,8302.79,81,
"22,03,2000",103.15,3.15,-0.81,2000-03-22,3,2000,8405.94,82,
"23,03,2000",103.25,3.25,0.1,2000-03-23,3,2000,8509.19,83,
"24,03,2000",103.57,3.57,0.31,2000-03-24,3,2000,8612.76,84,
"25,03,2000",103.57,3.57,0,2000-03-25,3,2000,8716.33,85,
"26,03,2000",103.57,3.57,0,2000-03-26,3,2000,8819.9,86,
"27,03,2000",103.22,3.22,-0.34,2000-03-27,3,2000,8923.12,87,
"28,03,2000",102.99,2.99,-0.22,2000-03-28,3,2000,9026.11,88,
"29,03,2000",102.39,2.39,-0.58,2000-03-29,3,2000,9128.5,89,
"30,03,2000",102.22,2.22,-0.17,2000-03-30,3,2000,9230.72,90,
"31,03,2000",102.34,2.34,0.12,2000-03-31,3,2000,9333.06,91,
"01,04,2000",102.34,2.34,0,2000-04-01,4,2000,102.34,1,102.5610989
"02,04,2000",102.34,2.34,0,2000-04-02,4,2000,204.68,2,
"03,04,2000",102.54,2.54,0.2,2000-04-03,4,2000,307.22,3,
"04,04,2000",103.19,3.19,0.63,2000-04-04,4,2000,410.41,4,
"05,04,2000",102.67,2.67,-0.5,2000-04-05,4,2000,513.08,5,
"06,04,2000",102.29,2.29,-0.37,2000-04-06,4,2000,615.37,6,
"07,04,2000",102.02,2.02,-0.26,2000-04-07,4,2000,717.39,7,
"08,04,2000",102.02,2.02,0,2000-04-08,4,2000,819.41,8,
"09,04,2000",102.02,2.02,0,2000-04-09,4,2000,921.43,9,
"10,04,2000",101.1,1.1,-0.9,2000-04-10,4,2000,1022.53,10,
"11,04,2000",101.21,1.21,0.11,2000-04-11,4,2000,1123.74,11,
"12,04,2000",101.52,1.52,0.31,2000-04-12,4,2000,1225.26,12,
"13,04,2000",101.03,1.03,-0.48,2000-04-13,4,2000,1326.29,13,
"14,04,2000",100.82,0.82,-0.21,2000-04-14,4,2000,1427.11,14,
"15,04,2000",100.82,0.82,0,2000-04-15,4,2000,1527.93,15,
"16,04,2000",100.82,0.82,0,2000-04-16,4,2000,1628.75,16,
"17,04,2000",99.72,-0.28,-1.09,2000-04-17,4,2000,1728.47,17,
"18,04,2000",99.56,-0.44,-0.16,2000-04-18,4,2000,1828.03,18,
"19,04,2000",99.86,-0.14,0.3,2000-04-19,4,2000,1927.89,19,
"20,04,2000",100.16,0.16,0.3,2000-04-20,4,2000,2028.05,20,
"21,04,2000",100.2,0.2,0.04,2000-04-21,4,2000,2128.25,21,
"22,04,2000",100.2,0.2,0,2000-04-22,4,2000,2228.45,22,
"23,04,2000",100.2,0.2,0,2000-04-23,4,2000,2328.65,23,
"24,04,2000",100.2,0.2,0,2000-04-24,4,2000,2428.85,24,
"25,04,2000",100.53,0.53,0.33,2000-04-25,4,2000,2529.38,25,
"26,04,2000",100.67,0.67,0.14,2000-04-26,4,2000,2630.05,26,
"27,04,2000",100.26,0.26,-0.41,2000-04-27,4,2000,2730.31,27,
"28,04,2000",100.76,0.76,0.5,2000-04-28,4,2000,2831.07,28,
"29,04,2000",100.76,0.76,0,2000-04-29,4,2000,2931.83,29,
"30,04,2000",100.76,0.76,0,2000-04-30,4,2000,3032.59,30,
"01,05,2000",100.7,0.7,-0.06,2000-05-01,5,2000,3133.29,31,
"02,05,2000",100.99,0.99,0.29,2000-05-02,5,2000,3234.28,32,
"03,05,2000",100.85,0.85,-0.14,2000-05-03,5,2000,3335.13,33,
"04,05,2000",101.45,1.45,0.59,2000-05-04,5,2000,3436.58,34,
"05,05,2000",101.19,1.19,-0.26,2000-05-05,5,2000,3537.77,35,
"06,05,2000",101.19,1.19,0,2000-05-06,5,2000,3638.96,36,
"07,05,2000",101.19,1.19,0,2000-05-07,5,2000,3740.15,37,
"08,05,2000",101.25,1.25,0.06,2000-05-08,5,2000,3841.4,38,
"09,05,2000",100.31,0.31,-0.93,2000-05-09,5,2000,3941.71,39,
"10,05,2000",100.52,0.52,0.21,2000-05-10,5,2000,4042.23,40,
"11,05,2000",100.68,0.68,0.16,2000-05-11,5,2000,4142.91,41,
"12,05,2000",100.66,0.66,-0.02,2000-05-12,5,2000,4243.57,42,
"13,05,2000",100.66,0.66,0,2000-05-13,5,2000,4344.23,43,
"14,05,2000",100.66,0.66,0,2000-05-14,5,2000,4444.89,44,
"15,05,2000",100.51,0.51,-0.15,2000-05-15,5,2000,4545.4,45,
"16,05,2000",100.8,0.8,0.29,2000-05-16,5,2000,4646.2,46,
"17,05,2000",101.05,1.05,0.25,2000-05-17,5,2000,4747.25,47,
"18,05,2000",100.78,0.78,-0.27,2000-05-18,5,2000,4848.03,48,
"19,05,2000",102.29,2.29,1.5,2000-05-19,5,2000,4950.32,49,
"20,05,2000",102.29,2.29,0,2000-05-20,5,2000,5052.61,50,
"21,05,2000",102.29,2.29,0,2000-05-21,5,2000,5154.9,51,
"22,05,2000",101.85,1.85,-0.43,2000-05-22,5,2000,5256.75,52,
"23,05,2000",101.42,1.42,-0.42,2000-05-23,5,2000,5358.17,53,
"24,05,2000",101.68,1.68,0.26,2000-05-24,5,2000,5459.85,54,
"25,05,2000",101.61,1.61,-0.07,2000-05-25,5,2000,5561.46,55,
"26,05,2000",101.52,1.52,-0.09,2000-05-26,5,2000,5662.98,56,
"27,05,2000",101.52,1.52,0,2000-05-27,5,2000,5764.5,57,
"28,05,2000",101.52,1.52,0,2000-05-28,5,2000,5866.02,58,
"29,05,2000",101.46,1.46,-0.06,2000-05-29,5,2000,5967.48,59,
"30,05,2000",100.6,0.6,-0.85,2000-05-30,5,2000,6068.08,60,
"31,05,2000",100.31,0.31,-0.29,2000-05-31,5,2000,6168.39,61,
"01,06,2000",99.59,-0.41,-0.72,2000-06-01,6,2000,6267.98,62,
"02,06,2000",99.35,-0.65,-0.24,2000-06-02,6,2000,6367.33,63,
"03,06,2000",99.35,-0.65,0,2000-06-03,6,2000,6466.68,64,
"04,06,2000",99.35,-0.65,0,2000-06-04,6,2000,6566.03,65,
"05,06,2000",99.34,-0.66,-0.01,2000-06-05,6,2000,6665.37,66,
"06,06,2000",98.99,-1.01,-0.35,2000-06-06,6,2000,6764.36,67,
"07,06,2000",99.18,-0.82,0.19,2000-06-07,6,2000,6863.54,68,
"08,06,2000",99.49,-0.51,0.31,2000-06-08,6,2000,6963.03,69,
"09,06,2000",99.51,-0.49,0.02,2000-06-09,6,2000,7062.54,70,
